Num,Timestamp,What is your major?,What region do you live in when not at VT?,"Of these hobbies, which do you prefer most?","Have you heard the song ""All These Things I've Done""  by The Killers?","Do you like the song ""All These Things I've Done""  by The Killers?","Have you heard the song ""All You Need Is Love""  by The Beatles?","Do you like the song ""All You Need Is Love""  by The Beatles?","Have you heard the song ""American Pie""  by Don McLean?","Do you like the song ""American Pie""  by Don McLean?","Have you heard the song ""Anarchy in the UK""  by The Sex Pistols?","Do you like the song ""Anarchy in the UK""  by The Sex Pistols?","Have you heard the song ""Another One Bites the Dust""  by Queen?","Do you like the song ""Another One Bites the Dust""  by Queen?","Have you heard the song ""Bad Blood"" by Taylor Swift?","Do you like the song ""Bad Blood"" by Taylor Swift?","Have you heard the song ""Boom Boom Pow"" by The Black Eyed Peas?","Do you like the song ""Boom Boom Pow"" by The Black Eyed Peas?","Have you heard the song ""Bridge Over Troubled Water"" by Simon and Garfunkel?","Do you like the song ""Bridge Over Troubled Water"" by Simon and Garfunkel?","Have you heard the song ""Call Me"" by Blondie?","Do you like the song ""Call Me"" by Blondie?","Have you heard the song ""Call Me Maybe"" by Carly Rae Jepsen?","Do you like the song ""Call Me Maybe"" by Carly Rae Jepsen?","Have you head the song ""Dancing Queen"" by ABBA?","Do you like the song ""Dancing Queen"" by ABBA?","Have you heard the song ""Empire State Of Mind"" by Jay Z & Alicia Keys?","Do you like the song ""Empire State Of Mind"" by Jay Z & Alicia Keys?","Have you heard the song ""Every Breath You Take"" by The Police?","Do you like the song ""Every Breath You Take"" by The Police?","Have you heard the song ""Eye of the Tiger"" by Survivor?","Do you like the song ""Eye of the Tiger"" by Survivor?","Have you heard the song ""Gold Digger"" by Kayne West?","Do you like the song ""Gold Digger"" by Kayne West?","Have you heard the song ""Help!"" by The Beatles?","Do you like the song ""Help!"" by The Beatles?","Have you heard the song ""Hey Jude"" by The Beatles?","Do you like the song ""Hey Jude"" by The Beatles?","Have you heard the song ""Hotel California"" by The Eagles?","Do you like the song ""Hotel California"" by The Eagles?","Have you heard the song ""I Am... I Said"" by Neil Diamond?","Do you like the song ""I Am... I Said"" by Neil Diamond?","Have you heard the song ""I Gotta Feeling"" by The Black Eyed  Peas?","Do you like the song ""I Gotta Feeling"" by The Black Eyed  Peas?","Have you heard the song ""I Love Rock 'n Roll"" by Joan Jett & the  Blackhearts?","Do you like the song ""I Love Rock 'n Roll"" by Joan Jett & the  Blackhearts?","Have you heard the song ""I Want to Hold Your Hand"" by The Beatles?","Do you like the song ""I Want to Hold Your Hand"" by The Beatles?","Have you heard the song ""I Still Haven't Found What I'm Looking For"" by U2?","Do you like the song ""I Still Haven't Found What I'm Looking For"" by U2?","Have you heard the song ""I Will Always Love You"" by  Whitney Houston?","Do you like the song ""I Will Always Love You"" by  Whitney Houston?","Have you heard the song ""I Will Survive"" by  Gloria Gaynor?","Do you like the song ""I Will Survive"" by  Gloria Gaynor?","Have you heard the song ""I'm a Believer"" by  The Monkees?","Do you like the song ""I'm a Believer"" by  The Monkees?","Have you heard the song ""Imagine"" by  John Lennon?","Do you like the song ""Imagine"" by  John Lennon?","Have you heard the song ""Jealous Guy"" by John Lennon?","Do you like the song ""Jealous Guy"" by John Lennon?","Have you heard the song ""Just the Way You Are"" by Bruno Mars?","Do you like the song ""Just the Way You Are"" by Bruno Mars?","Have you heard the song ""Let It Be"" by The Beatles?","Do you like the song ""Let It Be"" by The Beatles?","Have you heard the song ""Life On Mars?"" by  David Bowie?","Do you like the song ""Life On Mars?"" by  David Bowie?","Have you heard the song ""Light My Fire?"" by The Doors?","Do you like the song ""Light My Fire?"" by The Doors?","Have you heard the song ""Low"" by Flo Rida?","Do you like the song ""Low"" by Flo Rida?","Have you heard the song ""Macarena"" by Los del Rio?","Do you like the song ""Macarena"" by Los del Rio?","Have you heard the song ""MacArthur Park"" by  Richard Harris?","Do you like the song ""MacArthur Park"" by  Richard Harris?","Have you heard the song ""Moves Like Jagger"" by  Maroon 5?","Do you like the song ""Moves Like Jagger"" by  Maroon 5?","Have you heard the song ""No One"" by  Alicia Keys?","Do you like the song ""No One"" by  Alicia Keys?","Have you heard the song ""Party Rock Anthem"" by LMFAO?","Do you like the song ""Party Rock Anthem"" by LMFAO?","Have you heard the song ""Physical"" by Olivia Newton John?","Do you like the song ""Physical"" by Olivia Newton John?","Have you heard the song ""Rehab"" by Amy Winehouse?","Do you like the song ""Rehab"" by Amy Winehouse?","Have you heard the song ""Rolling in the Deep"" by Adele?","Do you like the song ""Rolling in the Deep"" by Adele?","Have you heard the song ""Royals"" by Lorde?","Do you like the song ""Royals"" by Lorde?","Have you heard the song ""Run"" by Snow Patrol?","Do you like the song ""Run"" by Snow Patrol?","Have you heard the song ""Shake It Off"" by Taylor Swift?","Do you like the song ""Shake It Off"" by Taylor Swift?","Have you heard the song ""Single Ladies (Ring On It)"" by Beyonce?","Do you like the song ""Single Ladies (Ring On It)"" by Beyonce?","Have you heard the song ""Smells Like Teen Spirit "" by Nirvana?","Do you like the song ""Smells Like Teen Spirit "" by Nirvana?","Have you heard the song ""Somebody That I Used to Know"" by Gotye?","Do you like the song ""Somebody That I Used to Know"" by Gotye?","Have you heard the song ""Somebody To Love"" by Queen?","Do you like the song ""Somebody To Love"" by Queen?","Have you heard the song ""Something"" by The Beatles?","Do you like the song ""Something"" by The Beatles?","Have you heard the song ""Space Oddity"" by David Bowie?","Do you like the song ""Space Oddity"" by David Bowie?","Have you heard the song ""Stayin' Alive"" by Bee Gees?","Do you like the song ""Stayin' Alive"" by Bee Gees?","Have you heard the song ""Take Me To Church"" by  Hozier?","Do you like the song ""Take Me To Church"" by  Hozier?","Have you heard the song ""Tik Tok"" by Ke$ha?","Do you like the song ""Tik Tok"" by Ke$ha?","Have you heard the song ""Uma Thurman"" by Fall Out Boy?","Do you like the song ""Uma Thurman"" by Fall Out Boy?","Have you heard the song ""Upside Down"" by Diana Ross?","Do you like the song ""Upside Down"" by Diana Ross?","Have you heard the song ""Watching the Detectives"" by Elvis Costello?","Do you like the song ""Watching the Detectives"" by Elvis Costello?","Have you heard the song ""We Belong Together"" by Mariah Carey?","Do you like the song ""We Belong Together"" by Mariah Carey?","Have you heard the song ""Yeah!"" by Usher?","Do you like the song ""Yeah!"" by Usher?","Have you heard the song ""You Can't Always Get What You Want"" by The Rolling Stones?","Do you like the song ""You Can't Always Get What You Want"" by The Rolling Stones?"
1,6/12/2016 10:22:25,Math or CMDA,Northeast,Music,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,I don't know,Yes,No,No,I don't know,Yes,No,Yes,No,No,I don't know,No,I don't know,Yes,No,Yes,No,No,I don't know,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,I don't know,Yes,No,Yes,No,Yes,No,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know
2,6/13/2016 15:14:32,Math or CMDA,Northeast,Sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,I don't know,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
3,6/14/2016 0:46:45,Other Engineering,United States (other),Music,No,I don't know,Yes,No,Yes,Yes,No,I don't know,No,I don't know,Yes,No,Yes,Yes,No,I don't know,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,I don't know,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,I don't know,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
4,6/14/2016 6:39:39,Computer Science,Southeast,Sports,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I don't know,Yes,Yes,No,I don't know,Yes,No,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Yes,Yes,No,I don't know
5,6/14/2016 12:24:52,Computer Science,Southeast,Music,No,I don't know,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,I don't know,Yes,No,No,I don't know,Yes,No,Yes,No,Yes,Yes,No,I don't know,Yes,I don't know,Yes,Yes,No,I don't know,No,I don't know,Yes,No,Yes,Yes,No,I don't know,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,I don't know,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,No,I don't know,Yes,Yes
6,6/14/2016 19:53:52,Other Engineering,Northeast,Art,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,No,Yes,Yes,No,I don't know,No,I don't know,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,No,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,I don't know,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes
7,6/14/2016 21:42:03,Computer Science,Northeast,Music,No,I don't know,No,I don't know,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,Yes,No,Yes,Yes,No,I don't know,Yes,No,No,I don't know,Yes,No,No,I don't know,Yes,No,Yes,No,Yes,No,No,I don't know,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,Yes,No,No,I don't know
8,6/15/2016 10:10:46,Math or CMDA,Northeast,Reading,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I don't know,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I don't know,Yes,No,No,No,No,Yes,No,Yes,Yes
9,6/17/2016 18:13:09,Other,Northeast,Music,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I don't know,No,I don't know,No,I don't know,Yes,Yes,Yes,Yes,Yes,Yes
10,6/19/2016 19:13:29,Other Engineering,Northeast,Music,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes